"Location","Total","Occupied","Vacant"
"Kellyton town, Alabama","","",""
"    Kellyton town, Alabama","96","54","42"
"Kennedy town, Alabama","","",""
"    Kennedy town, Alabama","224","203","21"
"Killen town, Alabama","","",""
"    Killen town, Alabama","474","440","34"
"Kimberly city, Alabama","","",""
"    Kimberly city, Alabama","1,431","1,355","76"
"Kinsey town, Alabama","","",""
"    Kinsey town, Alabama","941","842","99"
"Kinston town, Alabama","","",""
"    Kinston town, Alabama","290","249","41"
"Ladonia CDP, Alabama","","",""
"    Ladonia CDP, Alabama","1,400","1,247","153"
"La Fayette city, Alabama","","",""
"    La Fayette city, Alabama","1,219","1,059","160"
"Lakeview town, Alabama","","",""
"    Lakeview town, Alabama","75","68","7"
"Lake View town, Alabama","","",""
"    Lake View town, Alabama","1,377","1,279","98"
"Lanett city, Alabama","","",""
"    Lanett city, Alabama","3,145","2,695","450"
"Langston town, Alabama","","",""
"    Langston town, Alabama","195","126","69"
"Leeds city, Alabama","","",""
"    Leeds city, Alabama","5,348","4,964","384"
"Leesburg town, Alabama","","",""
"    Leesburg town, Alabama","511","379","132"
"Leighton town, Alabama","","",""
"    Leighton town, Alabama","360","295","65"
"Leroy CDP, Alabama","","",""
"    Leroy CDP, Alabama","374","335","39"
"Lester town, Alabama","","",""
"    Lester town, Alabama","46","40","6"
"Level Plains town, Alabama","","",""
"    Level Plains town, Alabama","788","728","60"
"Lexington town, Alabama","","",""
"    Lexington town, Alabama","385","340","45"
"Libertyville town, Alabama","","",""
"    Libertyville town, Alabama","63","59","4"
"Lillian CDP, Alabama","","",""
"    Lillian CDP, Alabama","668","568","100"
"Lincoln city, Alabama","","",""
"    Lincoln city, Alabama","3,287","2,765","522"
"Linden city, Alabama","","",""
"    Linden city, Alabama","981","827","154"
"Lineville city, Alabama","","",""
"    Lineville city, Alabama","1,170","1,033","137"
"Lipscomb city, Alabama","","",""
"    Lipscomb city, Alabama","963","824","139"
"Lisman town, Alabama","","",""
"    Lisman town, Alabama","246","201","45"
"Littleville town, Alabama","","",""
"    Littleville town, Alabama","488","444","44"
"Livingston city, Alabama","","",""
"    Livingston city, Alabama","1,350","1,117","233"
"Loachapoka town, Alabama","","",""
"    Loachapoka town, Alabama","82","74","8"
"Lockhart town, Alabama","","",""
"    Lockhart town, Alabama","240","187","53"
"Locust Fork town, Alabama","","",""
"    Locust Fork town, Alabama","484","443","41"
"Lookout Mountain CDP, Alabama","","",""
"    Lookout Mountain CDP, Alabama","702","604","98"
"Louisville town, Alabama","","",""
"    Louisville town, Alabama","251","181","70"
"Lowndesboro town, Alabama","","",""
"    Lowndesboro town, Alabama","48","40","8"
"Loxley town, Alabama","","",""
"    Loxley town, Alabama","1,388","1,289","99"
"Luverne city, Alabama","","",""
"    Luverne city, Alabama","1,346","1,184","162"
"Lynn town, Alabama","","",""
"    Lynn town, Alabama","302","271","31"
"McCalla CDP, Alabama","","",""
"    McCalla CDP, Alabama","5,373","5,068","305"
"McDonald Chapel CDP, Alabama","","",""
"    McDonald Chapel CDP, Alabama","342","295","47"
"Macedonia CDP, Alabama","","",""
"    Macedonia CDP, Alabama","138","119","19"
"McIntosh town, Alabama","","",""
"    McIntosh town, Alabama","96","86","10"
"McKenzie town, Alabama","","",""
"    McKenzie town, Alabama","258","219","39"
"McMullen town, Alabama","","",""
"    McMullen town, Alabama","23","18","5"
"Madison city, Alabama","","",""
"    Madison city, Alabama","21,980","20,787","1,193"
"Madrid town, Alabama","","",""
"    Madrid town, Alabama","133","109","24"
"Magnolia Springs town, Alabama","","",""
"    Magnolia Springs town, Alabama","471","385","86"
"Malcolm CDP, Alabama","","",""
"    Malcolm CDP, Alabama","73","57","16"
"Malvern town, Alabama","","",""
"    Malvern town, Alabama","651","583","68"
"Maplesville town, Alabama","","",""
"    Maplesville town, Alabama","281","245","36"
"Marbury CDP, Alabama","","",""
"    Marbury CDP, Alabama","587","545","42"
"Margaret town, Alabama","","",""
"    Margaret town, Alabama","1,881","1,779","102"
"Marion city, Alabama","","",""
"    Marion city, Alabama","1,290","1,115","175"
"Maytown town, Alabama","","",""
"    Maytown town, Alabama","163","148","15"
"Meadowbrook CDP, Alabama","","",""
"    Meadowbrook CDP, Alabama","3,762","3,613","149"
"Megargel CDP, Alabama","","",""
"    Megargel CDP, Alabama","36","23","13"
"Memphis town, Alabama","","",""
"    Memphis town, Alabama","12","5","7"
"Mentone town, Alabama","","",""
"    Mentone town, Alabama","359","172","187"
"Meridianville CDP, Alabama","","",""
"    Meridianville CDP, Alabama","3,150","3,044","106"
"Midfield city, Alabama","","",""
"    Midfield city, Alabama","2,258","2,003","255"
"Midland City town, Alabama","","",""
