"Location","Total","Occupied","Vacant"
"    Eskridge city, Kansas","214","179","35"
"Eudora city, Kansas","","",""
"    Eudora city, Kansas","2,412","2,296","116"
"Eureka city, Kansas","","",""
"    Eureka city, Kansas","1,283","1,038","245"
"Everest city, Kansas","","",""
"    Everest city, Kansas","139","113","26"
"Fairview city, Kansas","","",""
"    Fairview city, Kansas","129","118","11"
"Fairway city, Kansas","","",""
"    Fairway city, Kansas","1,822","1,755","67"
"Fall River city, Kansas","","",""
"    Fall River city, Kansas","99","66","33"
"Falun CDP, Kansas","","",""
"    Falun CDP, Kansas","46","45","1"
"Farlington CDP, Kansas","","",""
"    Farlington CDP, Kansas","36","31","5"
"Florence city, Kansas","","",""
"    Florence city, Kansas","262","189","73"
"Fontana city, Kansas","","",""
"    Fontana city, Kansas","86","71","15"
"Ford city, Kansas","","",""
"    Ford city, Kansas","115","86","29"
"Formoso city, Kansas","","",""
"    Formoso city, Kansas","52","43","9"
"Fort Dodge CDP, Kansas","","",""
"    Fort Dodge CDP, Kansas","79","37","42"
"Fort Riley CDP, Kansas","","",""
"    Fort Riley CDP, Kansas","1,812","1,647","165"
"Fort Scott city, Kansas","","",""
"    Fort Scott city, Kansas","3,639","3,080","559"
"Fowler city, Kansas","","",""
"    Fowler city, Kansas","273","207","66"
"Frankfort city, Kansas","","",""
"    Frankfort city, Kansas","348","311","37"
"Franklin CDP, Kansas","","",""
"    Franklin CDP, Kansas","190","173","17"
"Frederick city, Kansas","","",""
"    Frederick city, Kansas","9","4","5"
"Fredonia city, Kansas","","",""
"    Fredonia city, Kansas","1,168","933","235"
"Frontenac city, Kansas","","",""
"    Frontenac city, Kansas","1,475","1,344","131"
"Fulton city, Kansas","","",""
"    Fulton city, Kansas","68","51","17"
"Furley CDP, Kansas","","",""
"    Furley CDP, Kansas","24","18","6"
"Galatia city, Kansas","","",""
"    Galatia city, Kansas","28","21","7"
"Galena city, Kansas","","",""
"    Galena city, Kansas","1,315","1,096","219"
"Galesburg city, Kansas","","",""
"    Galesburg city, Kansas","62","57","5"
"Galva city, Kansas","","",""
"    Galva city, Kansas","380","344","36"
"Garden City city, Kansas","","",""
"    Garden City city, Kansas","10,431","9,676","755"
"Garden Plain city, Kansas","","",""
"    Garden Plain city, Kansas","349","336","13"
"Gardner city, Kansas","","",""
"    Gardner city, Kansas","8,294","8,005","289"
"Garfield city, Kansas","","",""
"    Garfield city, Kansas","96","67","29"
"Garland CDP, Kansas","","",""
"    Garland CDP, Kansas","22","22","0"
"Garnett city, Kansas","","",""
"    Garnett city, Kansas","1,542","1,363","179"
"Gas city, Kansas","","",""
"    Gas city, Kansas","219","193","26"
"Gaylord city, Kansas","","",""
"    Gaylord city, Kansas","67","44","23"
"Gem city, Kansas","","",""
"    Gem city, Kansas","38","37","1"
"Geneseo city, Kansas","","",""
"    Geneseo city, Kansas","135","119","16"
"Geuda Springs city, Kansas","","",""
"    Geuda Springs city, Kansas","80","71","9"
"Girard city, Kansas","","",""
"    Girard city, Kansas","1,142","1,008","134"
"Glade city, Kansas","","",""
"    Glade city, Kansas","41","27","14"
"Glasco city, Kansas","","",""
"    Glasco city, Kansas","269","188","81"
"Glen Elder city, Kansas","","",""
"    Glen Elder city, Kansas","228","171","57"
"Goddard city, Kansas","","",""
"    Goddard city, Kansas","1,757","1,662","95"
"Goessel city, Kansas","","",""
"    Goessel city, Kansas","222","200","22"
"Goff city, Kansas","","",""
"    Goff city, Kansas","52","36","16"
"Goodland city, Kansas","","",""
"    Goodland city, Kansas","2,228","1,891","337"
"Gorham city, Kansas","","",""
"    Gorham city, Kansas","169","147","22"
"Gove City city, Kansas","","",""
"    Gove City city, Kansas","47","36","11"
"Grainfield city, Kansas","","",""
"    Grainfield city, Kansas","158","132","26"
"Grandview Plaza city, Kansas","","",""
"    Grandview Plaza city, Kansas","987","789","198"
"Grantville CDP, Kansas","","",""
"    Grantville CDP, Kansas","72","71","1"
"Great Bend city, Kansas","","",""
"    Great Bend city, Kansas","7,081","6,136","945"
"Greeley city, Kansas","","",""
"    Greeley city, Kansas","142","124","18"
"Greeley County unified government (balance), Kansas","","",""
"    Greeley County unified government (balance), Kansas","196","155","41"
"Green city, Kansas","","",""
"    Green city, Kansas","53","43","10"
"Greenleaf city, Kansas","","",""
"    Greenleaf city, Kansas","155","142","13"
"Greensburg city, Kansas","","",""
"    Greensburg city, Kansas","403","329","74"
"Greenwich CDP, Kansas","","",""
"    Greenwich CDP, Kansas","31","31","0"
"Grenola city, Kansas","","",""
"    Grenola city, Kansas","112","76","36"
"Gridley city, Kansas","","",""
"    Gridley city, Kansas","160","136","24"
"Grinnell city, Kansas","","",""
"    Grinnell city, Kansas","151","129","22"
"Gypsum city, Kansas","","",""
"    Gypsum city, Kansas","188","173","15"
"Haddam city, Kansas","","",""
"    Haddam city, Kansas","67","33","34"
"Hallowell CDP, Kansas","","",""
"    Hallowell CDP, Kansas","44","38","6"
"Halstead city, Kansas","","",""
"    Halstead city, Kansas","914","831","83"
"Hamilton city, Kansas","","",""
"    Hamilton city, Kansas","124","89","35"
"Hamlin city, Kansas","","",""
"    Hamlin city, Kansas","14","9","5"
"Hanover city, Kansas","","",""
"    Hanover city, Kansas","312","268","44"
"Hanston city, Kansas","","",""
"    Hanston city, Kansas","109","92","17"
"Hardtner city, Kansas","","",""
"    Hardtner city, Kansas","101","79","22"
"Harper city, Kansas","","",""
"    Harper city, Kansas","741","584","157"
"Harris CDP, Kansas","","",""
"    Harris CDP, Kansas","20","20","0"
"Hartford city, Kansas","","",""
"    Hartford city, Kansas","185","155","30"
"Harveyville city, Kansas","","",""
"    Harveyville city, Kansas","94","82","12"
"Havana city, Kansas","","",""
"    Havana city, Kansas","44","37","7"
"Haven city, Kansas","","",""
"    Haven city, Kansas","525","475","50"
"Havensville city, Kansas","","",""
"    Havensville city, Kansas","59","51","8"
"Haviland city, Kansas","","",""
"    Haviland city, Kansas","260","227","33"
"Hays city, Kansas","","",""
"    Hays city, Kansas","9,541","8,610","931"
"Haysville city, Kansas","","",""
"    Haysville city, Kansas","4,371","4,133","238"
"Hazelton city, Kansas","","",""
"    Hazelton city, Kansas","53","48","5"
"Healy CDP, Kansas","","",""
"    Healy CDP, Kansas","102","93","9"
"Hepler city, Kansas","","",""
"    Hepler city, Kansas","56","41","15"
"Herington city, Kansas","","",""
"    Herington city, Kansas","1,263","948","315"
"Herkimer CDP, Kansas","","",""
"    Herkimer CDP, Kansas","26","26","0"
"Herndon city, Kansas","","",""
"    Herndon city, Kansas","93","55","38"
"Hesston city, Kansas","","",""
"    Hesston city, Kansas","1,454","1,357","97"
"Hiawatha city, Kansas","","",""
"    Hiawatha city, Kansas","1,590","1,378","212"
"Highland city, Kansas","","",""
"    Highland city, Kansas","341","251","90"
"Hill City city, Kansas","","",""
"    Hill City city, Kansas","760","625","135"
"Hillsboro city, Kansas","","",""
"    Hillsboro city, Kansas","1,188","1,003","185"
"Hillsdale CDP, Kansas","","",""
"    Hillsdale CDP, Kansas","115","103","12"
"Hoisington city, Kansas","","",""
"    Hoisington city, Kansas","1,371","1,164","207"
"Holcomb city, Kansas","","",""
"    Holcomb city, Kansas","722","687","35"
"Hollenberg city, Kansas","","",""
"    Hollenberg city, Kansas","15","5","10"
"Holton city, Kansas","","",""
"    Holton city, Kansas","1,599","1,410","189"
"Holyrood city, Kansas","","",""
"    Holyrood city, Kansas","236","190","46"
"Home CDP, Kansas","","",""
"    Home CDP, Kansas","77","66","11"
"Hope city, Kansas","","",""
"    Hope city, Kansas","175","146","29"
"Horace city, Kansas","","",""
"    Horace city, Kansas","64","51","13"
"Horton city, Kansas","","",""
"    Horton city, Kansas","813","638","175"
"Howard city, Kansas","","",""
"    Howard city, Kansas","347","268","79"
"Hoxie city, Kansas","","",""
"    Hoxie city, Kansas","572","504","68"
"Hoyt city, Kansas","","",""
"    Hoyt city, Kansas","259","238","21"
"Hudson city, Kansas","","",""
"    Hudson city, Kansas","58","49","9"
"Hugoton city, Kansas","","",""
"    Hugoton city, Kansas","1,573","1,355","218"
"Humboldt city, Kansas","","",""
"    Humboldt city, Kansas","903","796","107"
"Hunnewell city, Kansas","","",""
"    Hunnewell city, Kansas","27","18","9"
"Hunter city, Kansas","","",""
"    Hunter city, Kansas","45","28","17"
"Huron city, Kansas","","",""
"    Huron city, Kansas","32","30","2"
"Hutchinson city, Kansas","","",""
"    Hutchinson city, Kansas","18,609","16,535","2,074"
"Idana CDP, Kansas","","",""
"    Idana CDP, Kansas","26","18","8"
"Independence city, Kansas","","",""
"    Independence city, Kansas","4,380","3,627","753"
"Ingalls city, Kansas","","",""
"    Ingalls city, Kansas","111","97","14"
"Inman city, Kansas","","",""
"    Inman city, Kansas","580","528","52"
"Iola city, Kansas","","",""
"    Iola city, Kansas","2,679","2,291","388"
"Ionia CDP, Kansas","","",""
"    Ionia CDP, Kansas","19","9","10"
"Isabel city, Kansas","","",""
"    Isabel city, Kansas","38","23","15"
"Iuka city, Kansas","","",""
"    Iuka city, Kansas","70","64","6"
"Jamestown city, Kansas","","",""
"    Jamestown city, Kansas","124","105","19"
"Jennings city, Kansas","","",""
"    Jennings city, Kansas","76","52","24"
"Jetmore city, Kansas","","",""
"    Jetmore city, Kansas","378","333","45"
"Jewell city, Kansas","","",""
"    Jewell city, Kansas","224","175","49"
"Johnson City city, Kansas","","",""
"    Johnson City city, Kansas","607","531","76"
"Junction City city, Kansas","","",""
"    Junction City city, Kansas","10,920","9,104","1,816"
"Kanopolis city, Kansas","","",""
"    Kanopolis city, Kansas","255","205","50"
"Kanorado city, Kansas","","",""
"    Kanorado city, Kansas","79","61","18"
"Kansas City city, Kansas","","",""
"    Kansas City city, Kansas","63,446","57,079","6,367"
"Keats CDP, Kansas","","",""
"    Keats CDP, Kansas","45","45","0"
"Kechi city, Kansas","","",""
"    Kechi city, Kansas","871","840","31"
"Kelly CDP, Kansas","","",""
"    Kelly CDP, Kansas","14","13","1"
"Kensington city, Kansas","","",""
"    Kensington city, Kansas","237","181","56"
"Kickapoo Site 1 CDP, Kansas","","",""
"    Kickapoo Site 1 CDP, Kansas","25","25","0"
"Kickapoo Site 2 CDP, Kansas","","",""
"    Kickapoo Site 2 CDP, Kansas","9","9","0"
"Kickapoo Site 5 CDP, Kansas","","",""
"    Kickapoo Site 5 CDP, Kansas","19","14","5"
"Kickapoo Site 6 CDP, Kansas","","",""
"    Kickapoo Site 6 CDP, Kansas","5","5","0"
"Kickapoo Site 7 CDP, Kansas","","",""
"    Kickapoo Site 7 CDP, Kansas","29","25","4"
"Kickapoo Tribal Center CDP, Kansas","","",""
"    Kickapoo Tribal Center CDP, Kansas","73","67","6"
"Kincaid city, Kansas","","",""
"    Kincaid city, Kansas","73","46","27"
"Kingman city, Kansas","","",""
"    Kingman city, Kansas","1,531","1,335","196"
"Kinsley city, Kansas","","",""
"    Kinsley city, Kansas","813","660","153"
"Kiowa city, Kansas","","",""
"    Kiowa city, Kansas","552","404","148"
"Kipp CDP, Kansas","","",""
"    Kipp CDP, Kansas","31","29","2"
"Kirwin city, Kansas","","",""
"    Kirwin city, Kansas","123","65","58"
"Kismet city, Kansas","","",""
"    Kismet city, Kansas","154","124","30"
"Labette city, Kansas","","",""
"    Labette city, Kansas","24","24","0"
"La Crosse city, Kansas","","",""
"    La Crosse city, Kansas","642","547","95"
"La Cygne city, Kansas","","",""
"    La Cygne city, Kansas","502","430","72"
"Lafontaine CDP, Kansas","","",""
"    Lafontaine CDP, Kansas","30","23","7"
"La Harpe city, Kansas","","",""
"    La Harpe city, Kansas","234","207","27"
"Lake City CDP, Kansas","","",""
"    Lake City CDP, Kansas","26","16","10"
"Lake Quivira city, Kansas","","",""
"    Lake Quivira city, Kansas","405","374","31"
"Lakin city, Kansas","","",""
"    Lakin city, Kansas","860","796","64"
"Lancaster city, Kansas","","",""
"    Lancaster city, Kansas","109","109","0"
"Lane city, Kansas","","",""
"    Lane city, Kansas","114","100","14"
"Langdon city, Kansas","","",""
"    Langdon city, Kansas","19","6","13"
"Lansing city, Kansas","","",""
"    Lansing city, Kansas","3,612","3,432","180"
"Larned city, Kansas","","",""
"    Larned city, Kansas","2,101","1,704","397"
"Latham city, Kansas","","",""
"    Latham city, Kansas","64","47","17"
"Latimer city, Kansas","","",""
"    Latimer city, Kansas","9","9","0"
"Lawrence city, Kansas","","",""
"    Lawrence city, Kansas","43,421","39,688","3,733"
"Leavenworth city, Kansas","","",""
"    Leavenworth city, Kansas","14,756","13,143","1,613"
"Leawood city, Kansas","","",""
"    Leawood city, Kansas","13,484","12,742","742"
"Lebanon city, Kansas","","",""
"    Lebanon city, Kansas","139","102","37"
"Lebo city, Kansas","","",""
"    Lebo city, Kansas","393","367","26"
"Lecompton city, Kansas","","",""
"    Lecompton city, Kansas","265","247","18"
"Lehigh city, Kansas","","",""
"    Lehigh city, Kansas","72","64","8"
"Lenexa city, Kansas","","",""
"    Lenexa city, Kansas","25,308","23,934","1,374"
"Lenora city, Kansas","","",""
"    Lenora city, Kansas","173","100","73"
"Leon city, Kansas","","",""
"    Leon city, Kansas","291","264","27"
"Leona city, Kansas","","",""
"    Leona city, Kansas","17","15","2"
"Leonardville city, Kansas","","",""
"    Leonardville city, Kansas","188","161","27"
"Leoti city, Kansas","","",""
"    Leoti city, Kansas","669","589","80"
"LeRoy city, Kansas","","",""
"    LeRoy city, Kansas","255","211","44"
"Levant CDP, Kansas","","",""
"    Levant CDP, Kansas","32","22","10"
"Lewis city, Kansas","","",""
"    Lewis city, Kansas","199","175","24"
"Liberal city, Kansas","","",""
"    Liberal city, Kansas","7,389","6,618","771"
"Liberty city, Kansas","","",""
"    Liberty city, Kansas","55","46","9"
"Liebenthal city, Kansas","","",""
"    Liebenthal city, Kansas","58","47","11"
"Lincoln Center city, Kansas","","",""
"    Lincoln Center city, Kansas","671","522","149"
"Lincolnville city, Kansas","","",""
"    Lincolnville city, Kansas","93","78","15"
"Lindsborg city, Kansas","","",""
"    Lindsborg city, Kansas","1,469","1,346","123"
"Linn city, Kansas","","",""
"    Linn city, Kansas","164","153","11"
"Linn Valley city, Kansas","","",""
"    Linn Valley city, Kansas","637","457","180"
"Linwood city, Kansas","","",""
"    Linwood city, Kansas","163","153","10"
"Little River city, Kansas","","",""
"    Little River city, Kansas","221","187","34"
"Logan city, Kansas","","",""
"    Logan city, Kansas","285","223","62"
"Lone Elm city, Kansas","","",""
"    Lone Elm city, Kansas","14","12","2"
"Longford city, Kansas","","",""
"    Longford city, Kansas","47","39","8"
"Long Island city, Kansas","","",""
"    Long Island city, Kansas","67","52","15"
